Results for model EVA02-E-14-plus - laion2b_s9b_b144k:
Top-37 Precision: 0.026829337174164965 	 Recall: 0.9926854754440961 	 Accuracy: 0.9926854754440961
Top-38 Precision: 0.026150800197987604 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-39 Precision: 0.025507059989818528 	 Recall: 0.9947753396029259 	 Accuracy: 0.9947753396029259
Top-40 Precision: 0.02492163009404359 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-41 Precision: 0.024313785457603234 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-42 Precision: 0.02375976513907593 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-43 Precision: 0.023207212461422107 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-44 Precision: 0.02270352427092277 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-45 Precision: 0.022199001509346266 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-46 Precision: 0.02171641452001259 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-47 Precision: 0.021276595744680618 	 Recall: 1.0 	 Accuracy: 1.0
Top-48 Precision: 0.020833333333333287 	 Recall: 1.0 	 Accuracy: 1.0
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model convnext_xxlarge - laion2b_s34b_b82k_augreg:
Top-1 Precision: 0.26959247648902823 	 Recall: 0.26959247648902823 	 Accuracy: 0.26959247648902823
Top-2 Precision: 0.2560083594566353 	 Recall: 0.5120167189132706 	 Accuracy: 0.5120167189132706
Top-3 Precision: 0.20828979449669238 	 Recall: 0.6248693834900731 	 Accuracy: 0.6248693834900731
Top-4 Precision: 0.1724137931034483 	 Recall: 0.6896551724137931 	 Accuracy: 0.6896551724137931
Top-5 Precision: 0.1454545454545461 	 Recall: 0.7272727272727273 	 Accuracy: 0.7272727272727273
Top-6 Precision: 0.12539184952978183 	 Recall: 0.7523510971786834 	 Accuracy: 0.7523510971786834
Top-7 Precision: 0.11165845648604204 	 Recall: 0.7816091954022989 	 Accuracy: 0.7816091954022989
Top-8 Precision: 0.10083594566353186 	 Recall: 0.8066875653082549 	 Accuracy: 0.8066875653082549
Top-9 Precision: 0.09265064437478389 	 Recall: 0.8338557993730408 	 Accuracy: 0.8338557993730408
Top-10 Precision: 0.08557993730407484 	 Recall: 0.8557993730407524 	 Accuracy: 0.8557993730407524
Top-11 Precision: 0.07969981951173294 	 Recall: 0.8766980146290491 	 Accuracy: 0.8766980146290491
Top-12 Precision: 0.07488679902473036 	 Recall: 0.8986415882967607 	 Accuracy: 0.8986415882967607
Top-13 Precision: 0.07017120810224405 	 Recall: 0.9122257053291536 	 Accuracy: 0.9122257053291536
Top-14 Precision: 0.0657560829974617 	 Recall: 0.9205851619644723 	 Accuracy: 0.9205851619644723
Top-15 Precision: 0.06262626262626399 	 Recall: 0.9393939393939394 	 Accuracy: 0.9393939393939394
Top-16 Precision: 0.059430512016718916 	 Recall: 0.9508881922675027 	 Accuracy: 0.9508881922675027
Top-17 Precision: 0.056303399102588934 	 Recall: 0.9571577847439916 	 Accuracy: 0.9571577847439916
Top-18 Precision: 0.05352374317891659 	 Recall: 0.9634273772204807 	 Accuracy: 0.9634273772204807
Top-19 Precision: 0.05076170048946908 	 Recall: 0.9644723092998955 	 Accuracy: 0.9644723092998955
Top-20 Precision: 0.04827586206896501 	 Recall: 0.9655172413793104 	 Accuracy: 0.9655172413793104
Top-21 Precision: 0.04602677016470198 	 Recall: 0.9665621734587252 	 Accuracy: 0.9665621734587252
Top-22 Precision: 0.04402963807352594 	 Recall: 0.9686520376175548 	 Accuracy: 0.9686520376175548
Top-23 Precision: 0.04220616964245131 	 Recall: 0.9707419017763845 	 Accuracy: 0.9707419017763845
Top-24 Precision: 0.04049111807732495 	 Recall: 0.9717868338557993 	 Accuracy: 0.9717868338557993
Top-25 Precision: 0.038871473354231335 	 Recall: 0.9717868338557993 	 Accuracy: 0.9717868338557993
Top-26 Precision: 0.037376416686762344 	 Recall: 0.9717868338557993 	 Accuracy: 0.9717868338557993
Top-27 Precision: 0.036030806145749085 	 Recall: 0.9728317659352143 	 Accuracy: 0.9728317659352143
